Index ID,Date (dd/mm/yyyy),CustomerID,PromotionID,Product ID,Units Sold,Price Per Unit,Total sales,Offers %,Discount value only,Net Sales,Profit
175,05/09/2022,24,0,P027,3,699,2097,0,0,2097,209.7
176,14/12/2021,41,0,P006,1,7499,7499,0,0,7499,749.9
177,23/01/2023,2,0,P028,1,349,349,0,0,349,34.9
178,20/05/2022,3,PR001,P001,3,79999,239997,20,47999.4,191997.6,19199.76
179,01/10/2020,43,0,P017,2,10499,20998,0,0,20998,2099.8
180,14/07/2021,49,0,P021,2,1299,2598,0,0,2598,259.8
181,20/06/2020,20,0,P012,3,2999,8997,0,0,8997,899.7
182,12/07/2020,9,PR004,P007,2,6999,13998,50,6999,6999,699.9
183,18/07/2023,10,0,P030,2,399,798,0,0,798,79.8
184,09/08/2022,9,0,P016,3,24999,74997,0,0,74997,7499.7
185,10/05/2023,14,PR001,P004,1,64999,64999,20,12999.8,51999.2,5199.92
186,26/05/2023,38,PR001,P012,1,2999,2999,20,599.8,2399.2,239.92
187,05/01/2021,46,0,P030,3,399,1197,0,0,1197,119.7
188,29/10/2020,48,0,P030,1,399,399,0,0,399,39.9
189,14/05/2022,15,PR001,P009,2,3499,6998,20,1399.6,5598.4,559.84
190,02/04/2023,32,PR001,P026,2,5499,10998,20,2199.6,8798.4,879.84
191,11/07/2020,18,PR004,P018,3,2299,6897,50,3448.5,3448.5,344.85
192,28/11/2022,24,0,P021,1,1299,1299,0,0,1299,129.9
193,06/01/2023,5,0,P006,2,7499,14998,0,0,14998,1499.8
194,20/07/2022,31,0,P020,1,12999,12999,0,0,12999,1299.9
195,22/01/2021,20,0,P020,3,12999,38997,0,0,38997,3899.7
196,08/03/2021,11,0,P006,2,7499,14998,0,0,14998,1499.8
197,13/06/2022,24,0,P010,1,2199,2199,0,0,2199,219.9
198,01/09/2022,44,0,P014,2,4999,9998,0,0,9998,999.8
199,30/12/2023,13,PR005,P018,2,2299,4598,70,3218.6,1379.4,137.94
200,11/02/2020,10,0,P014,2,4999,9998,0,0,9998,999.8
201,15/05/2022,21,PR001,P026,2,5499,10998,20,2199.6,8798.4,879.84
202,24/12/2022,22,0,P008,3,5499,16497,0,0,16497,1649.7
203,01/05/2023,7,PR001,P010,3,2199,6597,20,1319.4,5277.6,527.76
204,22/12/2020,24,0,P004,3,64999,194997,0,0,194997,19499.7
205,20/09/2023,15,0,P014,1,4999,4999,0,0,4999,499.9
206,30/10/2023,40,0,P019,2,5999,11998,0,0,11998,1199.8
207,17/03/2020,1,0,P012,2,2999,5998,0,0,5998,599.8
208,24/03/2020,12,0,P017,1,10499,10499,0,0,10499,1049.9
209,03/03/2023,34,0,P030,3,399,1197,0,0,1197,119.7
210,22/03/2021,27,0,P030,3,399,1197,0,0,1197,119.7
211,29/10/2022,43,0,P024,2,2799,5598,0,0,5598,559.8
212,31/07/2023,17,0,P030,3,399,1197,0,0,1197,119.7
213,19/08/2023,27,0,P028,3,349,1047,0,0,1047,104.7
214,20/07/2022,29,0,P010,2,2199,4398,0,0,4398,439.8
215,30/12/2023,46,PR005,P018,1,2299,2299,70,1609.3,689.7,68.97
216,25/10/2020,29,0,P026,2,5499,10998,0,0,10998,1099.8
217,29/12/2023,39,PR005,P020,1,12999,12999,70,9099.3,3899.7,389.97
218,20/04/2020,29,PR001,P004,2,64999,129998,20,25999.6,103998.4,10399.84
219,13/02/2023,23,0,P010,1,2199,2199,0,0,2199,219.9
220,31/05/2023,30,PR001,P009,1,3499,3499,20,699.8,2799.2,279.92
221,20/03/2023,7,0,P006,3,7499,22497,0,0,22497,2249.7
222,20/04/2020,1,PR001,P002,1,69999,69999,20,13999.8,55999.2,5599.92
223,03/01/2023,45,0,P028,1,349,349,0,0,349,34.9
224,18/10/2020,33,0,P002,2,69999,139998,0,0,139998,13999.8
225,03/10/2020,24,0,P001,3,79999,239997,0,0,239997,23999.7
226,03/10/2023,9,0,P029,3,99,297,0,0,297,29.7
227,19/01/2021,40,0,P019,2,5999,11998,0,0,11998,1199.8
228,29/01/2021,42,0,P015,3,8499,25497,0,0,25497,2549.7
229,26/03/2021,47,0,P026,1,5499,5499,0,0,5499,549.9
230,24/11/2022,2,0,P010,1,2199,2199,0,0,2199,219.9
231,30/08/2020,13,0,P021,1,1299,1299,0,0,1299,129.9
232,10/05/2022,47,PR001,P028,2,349,698,20,139.6,558.4,55.84
233,02/10/2021,39,0,P008,3,5499,16497,0,0,16497,1649.7
234,17/12/2020,6,0,P019,1,5999,5999,0,0,5999,599.9
235,19/12/2022,13,0,P007,1,6999,6999,0,0,6999,699.9
236,28/11/2020,8,0,P019,2,5999,11998,0,0,11998,1199.8
237,23/05/2023,8,PR001,P004,2,64999,129998,20,25999.6,103998.4,10399.84
238,07/12/2020,43,0,P022,1,1999,1999,0,0,1999,199.9
239,17/08/2020,48,0,P009,2,3499,6998,0,0,6998,699.8
240,15/04/2020,23,PR001,P005,2,92499,184998,20,36999.6,147998.4,14799.84
241,06/01/2020,15,0,P027,1,699,699,0,0,699,69.9
242,28/01/2022,44,0,P027,2,699,1398,0,0,1398,139.8
243,29/12/2023,36,PR005,P030,3,399,1197,70,837.9,359.1,35.91
244,29/07/2021,9,0,P027,1,699,699,0,0,699,69.9
245,15/11/2020,3,0,P017,1,10499,10499,0,0,10499,1049.9
246,20/01/2020,9,0,P026,2,5499,10998,0,0,10998,1099.8
247,03/03/2023,43,0,P027,2,699,1398,0,0,1398,139.8
248,04/11/2020,39,0,P004,2,64999,129998,0,0,129998,12999.8
249,29/01/2023,11,0,P023,3,1499,4497,0,0,4497,449.7
250,31/10/2021,22,0,P021,1,1299,1299,0,0,1299,129.9
251,05/12/2022,20,0,P011,2,1499,2998,0,0,2998,299.8
252,29/08/2020,36,0,P009,2,3499,6998,0,0,6998,699.8
253,26/07/2023,39,0,P013,1,15999,15999,0,0,15999,1599.9
254,03/08/2020,42,0,P002,1,69999,69999,0,0,69999,6999.9
255,25/10/2020,15,0,P004,3,64999,194997,0,0,194997,19499.7
256,26/07/2020,22,PR004,P014,1,4999,4999,50,2499.5,2499.5,249.95
257,15/02/2020,42,0,P010,2,2199,4398,0,0,4398,439.8
258,16/06/2023,14,0,P027,1,699,699,0,0,699,69.9
259,27/09/2020,35,0,P018,1,2299,2299,0,0,2299,229.9
260,05/08/2020,32,0,P014,1,4999,4999,0,0,4999,499.9
261,09/06/2023,49,0,P015,3,8499,25497,0,0,25497,2549.7
262,02/08/2020,37,0,P006,1,7499,7499,0,0,7499,749.9
263,29/12/2023,24,PR005,P021,2,1299,2598,70,1818.6,779.4,77.94
264,26/02/2020,38,0,P017,1,10499,10499,0,0,10499,1049.9
265,11/02/2020,43,0,P003,3,89999,269997,0,0,269997,26999.7
266,19/07/2022,44,0,P011,2,1499,2998,0,0,2998,299.8
267,13/07/2021,25,0,P027,2,699,1398,0,0,1398,139.8
268,30/04/2020,1,PR001,P010,2,2199,4398,20,879.6,3518.4,351.84
269,17/11/2023,32,0,P002,2,69999,139998,0,0,139998,13999.8
270,22/05/2021,42,PR001,P029,3,99,297,20,59.4,237.6,23.76
271,29/12/2023,6,PR005,P017,1,10499,10499,70,7349.3,3149.7,314.97
272,11/06/2020,3,0,P008,2,5499,10998,0,0,10998,1099.8
273,04/09/2022,4,0,P023,1,1499,1499,0,0,1499,149.9
274,16/07/2020,3,0,P030,2,399,798,0,0,798,79.8
275,26/05/2022,37,PR001,P010,1,2199,2199,20,439.8,1759.2,175.92
276,28/10/2022,49,0,P021,1,1299,1299,0,0,1299,129.9
277,19/11/2021,44,0,P008,2,5499,10998,0,0,10998,1099.8
278,23/04/2023,23,PR001,P015,3,8499,25497,20,5099.4,20397.6,2039.76
279,08/03/2020,34,0,P028,2,349,698,0,0,698,69.8
280,23/08/2020,32,0,P006,3,7499,22497,0,0,22497,2249.7
281,27/04/2022,48,PR001,P027,1,699,699,20,139.8,559.2,55.92
282,19/08/2023,19,0,P026,3,5499,16497,0,0,16497,1649.7
283,22/05/2021,36,PR001,P016,3,24999,74997,20,14999.4,59997.6,5999.76
284,02/11/2022,3,0,P022,3,1999,5997,0,0,5997,599.7
285,04/08/2023,43,0,P007,3,6999,20997,0,0,20997,2099.7
286,10/03/2021,42,0,P010,3,2199,6597,0,0,6597,659.7
287,29/05/2022,24,PR001,P022,2,1999,3998,20,799.6,3198.4,319.84
288,29/10/2023,15,0,P014,1,4999,4999,0,0,4999,499.9
289,27/10/2023,28,0,P004,1,64999,64999,0,0,64999,6499.9
290,18/02/2022,50,0,P028,2,349,698,0,0,698,69.8
291,23/11/2021,28,0,P013,1,15999,15999,0,0,15999,1599.9
292,05/07/2020,35,PR004,P015,3,8499,25497,50,12748.5,12748.5,1274.85
293,29/12/2023,3,PR005,P014,3,4999,14997,70,10497.9,4499.1,449.91
294,29/12/2021,36,0,P030,2,399,798,0,0,798,79.8
295,30/04/2022,3,PR001,P022,2,1999,3998,20,799.6,3198.4,319.84
296,24/05/2021,11,PR001,P018,1,2299,2299,20,459.8,1839.2,183.92
297,14/03/2022,28,0,P027,3,699,2097,0,0,2097,209.7
298,29/12/2023,33,PR005,P019,1,5999,5999,70,4199.3,1799.7,179.97
299,16/02/2022,38,0,P022,1,1999,1999,0,0,1999,199.9
300,18/12/2020,29,0,P017,2,10499,20998,0,0,20998,2099.8
301,27/01/2022,15,0,P003,1,89999,89999,0,0,89999,8999.9
302,12/04/2021,3,PR001,P006,1,7499,7499,20,1499.8,5999.2,599.92
303,21/08/2021,6,0,P009,2,3499,6998,0,0,6998,699.8
304,12/09/2023,10,0,P025,2,8999,17998,0,0,17998,1799.8
305,19/01/2020,18,0,P018,2,2299,4598,0,0,4598,459.8
306,23/06/2022,38,0,P005,1,92499,92499,0,0,92499,9249.9
307,29/05/2022,20,PR001,P010,1,2199,2199,20,439.8,1759.2,175.92
308,04/12/2021,7,0,P019,3,5999,17997,0,0,17997,1799.7
309,14/01/2022,28,0,P008,3,5499,16497,0,0,16497,1649.7
310,02/05/2020,1,PR001,P020,2,12999,25998,20,5199.6,20798.4,2079.84
311,15/12/2020,26,0,P026,2,5499,10998,0,0,10998,1099.8
312,03/01/2021,21,0,P030,1,399,399,0,0,399,39.9
313,30/10/2021,48,0,P006,2,7499,14998,0,0,14998,1499.8
314,28/01/2022,33,0,P024,1,2799,2799,0,0,2799,279.9
315,08/07/2023,35,PR004,P007,3,6999,20997,50,10498.5,10498.5,1049.85
316,17/04/2023,41,PR001,P016,2,24999,49998,20,9999.6,39998.4,3999.84
317,12/11/2021,31,0,P018,2,2299,4598,0,0,4598,459.8
318,02/07/2021,20,0,P017,1,10499,10499,0,0,10499,1049.9
319,30/03/2020,45,0,P013,1,15999,15999,0,0,15999,1599.9
320,28/06/2023,41,0,P025,1,8999,8999,0,0,8999,899.9
321,25/08/2020,11,0,P030,3,399,1197,0,0,1197,119.7
322,11/07/2022,42,0,P019,1,5999,5999,0,0,5999,599.9
323,26/10/2021,8,0,P010,1,2199,2199,0,0,2199,219.9
324,29/10/2023,33,0,P007,2,6999,13998,0,0,13998,1399.8
325,01/03/2021,47,0,P028,1,349,349,0,0,349,34.9
326,19/11/2021,29,0,P022,3,1999,5997,0,0,5997,599.7
327,12/09/2023,27,0,P020,1,12999,12999,0,0,12999,1299.9
328,18/05/2020,32,PR001,P006,2,7499,14998,20,2999.6,11998.4,1199.84
329,26/06/2021,26,0,P026,2,5499,10998,0,0,10998,1099.8
330,21/12/2020,5,0,P027,3,699,2097,0,0,2097,209.7
331,13/10/2023,12,0,P019,1,5999,5999,0,0,5999,599.9
332,21/04/2022,46,PR001,P010,1,2199,2199,20,439.8,1759.2,175.92
333,11/11/2022,49,0,P014,2,4999,9998,0,0,9998,999.8
334,28/10/2022,5,0,P003,2,89999,179998,0,0,179998,17999.8
335,15/07/2023,12,PR004,P028,1,349,349,50,174.5,174.5,17.45
336,17/04/2020,19,PR001,P004,3,64999,194997,20,38999.4,155997.6,15599.76
337,16/02/2023,9,0,P023,2,1499,2998,0,0,2998,299.8
338,15/03/2020,37,0,P023,1,1499,1499,0,0,1499,149.9
339,13/01/2020,45,0,P026,2,5499,10998,0,0,10998,1099.8
340,28/10/2023,16,0,P017,2,10499,20998,0,0,20998,2099.8
341,04/08/2023,44,0,P014,2,4999,9998,0,0,9998,999.8
342,17/02/2023,21,0,P002,3,69999,209997,0,0,209997,20999.7
343,11/09/2023,8,0,P001,3,79999,239997,0,0,239997,23999.7
344,22/10/2023,12,0,P007,1,6999,6999,0,0,6999,699.9
345,22/12/2022,18,0,P028,3,349,1047,0,0,1047,104.7
346,28/12/2023,26,PR005,P012,1,2999,2999,70,2099.3,899.7,89.97
347,23/09/2021,42,0,P011,1,1499,1499,0,0,1499,149.9
348,24/03/2020,33,0,P012,1,2999,2999,0,0,2999,299.9
349,10/11/2022,24,0,P007,2,6999,13998,0,0,13998,1399.8
350,16/04/2020,16,PR001,P004,1,64999,64999,20,12999.8,51999.2,5199.92
351,21/04/2020,49,PR001,P019,1,5999,5999,20,1199.8,4799.2,479.92
352,20/04/2023,37,PR001,P004,1,64999,64999,20,12999.8,51999.2,5199.92
353,12/08/2022,26,0,P027,3,699,2097,0,0,2097,209.7
354,11/08/2020,6,0,P029,3,99,297,0,0,297,29.7
355,11/05/2020,14,PR001,P010,3,2199,6597,20,1319.4,5277.6,527.76
356,08/07/2020,47,0,P011,2,1499,2998,0,0,2998,299.8
357,10/08/2021,17,0,P007,1,6999,6999,0,0,6999,699.9
358,03/11/2020,14,0,P002,1,69999,69999,0,0,69999,6999.9
359,05/05/2023,32,PR001,P010,3,2199,6597,20,1319.4,5277.6,527.76
360,29/01/2021,19,0,P012,3,2999,8997,0,0,8997,899.7
361,29/08/2021,44,0,P005,2,92499,184998,0,0,184998,18499.8
362,20/09/2022,35,0,P014,2,4999,9998,0,0,9998,999.8
363,11/06/2022,39,0,P021,2,1299,2598,0,0,2598,259.8
364,08/01/2023,42,0,P016,2,24999,49998,0,0,49998,4999.8
365,10/06/2022,30,0,P023,1,1499,1499,0,0,1499,149.9
366,14/05/2020,45,PR001,P026,3,5499,16497,20,3299.4,13197.6,1319.76
367,07/06/2023,20,0,P019,2,5999,11998,0,0,11998,1199.8
368,28/01/2023,18,0,P007,1,6999,6999,0,0,6999,699.9
369,01/02/2022,13,0,P030,2,399,798,0,0,798,79.8
370,12/08/2023,25,0,P002,1,69999,69999,0,0,69999,6999.9
371,28/04/2020,28,PR001,P007,3,6999,20997,20,4199.4,16797.6,1679.76
372,12/11/2023,27,0,P003,1,89999,89999,0,0,89999,8999.9
373,26/05/2020,2,PR001,P012,2,2999,5998,20,1199.6,4798.4,479.84
374,13/06/2020,16,0,P021,2,1299,2598,0,0,2598,259.8
375,28/10/2022,9,0,P007,3,6999,20997,0,0,20997,2099.7
376,03/01/2021,4,0,P022,3,1999,5997,0,0,5997,599.7
